,货号,通用名,剂型,规格,生产厂家,批准文号,单位
19,08293,诺氟沙星胶囊,胶囊剂,0.1g*2板*12粒,江西药都仁和制药有限公司,国药准字H36021062,盒
20,08294,补中益气丸,丸剂(浓缩丸),每8丸相当于原生药3克,江西药都樟树制药有限公司,国药准字Z36021765,瓶
21,08295,非那雄胺片,片剂,5mg,北京东方协和医药生物技术有限公司,国药准字H20050171,盒
22,08296,湿毒清片,片剂,每片重0.5克,江西药都仁和制药有限公司,国药准字Z20050472,盒
23,08297,清火胶囊,胶囊剂,每粒装0.5克,江西药都仁和制药有限公司,国药准字Z20080476,盒
24,08298,萘敏维滴眼液,眼用制剂,10毫升:盐酸萘甲唑啉0.2毫克、马来酸氯苯那敏2毫克和维生素B12 1毫克,江西闪亮制药有限公司,国药准字H20064223,瓶
25,08299,感冒灵颗粒,颗粒剂,每袋装10g(含对乙酰氨基酚0.2g),广东新峰药业股份有限公司,国药准字Z44021019,盒
26,08300,风热感冒颗粒,颗粒剂,每袋重10g,山东孔府制药有限公司,国药准字Z37020003,盒
27,08301,铝碳酸镁咀嚼片,片剂,0.5g*20片,四川健能制药有限公司,国药准字H20067251,盒
28,08302,风寒感冒颗粒,颗粒剂,每袋重8g(含蔗糖),山东孔府制药有限公司,国药准字Z37020235,盒
29,08303,杞菊地黄丸,丸剂(浓缩丸),每8丸相当于原药材3g,江西药都樟树制药有限公司,国药准字Z36021781,瓶
30,08304,枸橼酸西地那非片,片剂,50mg*4片,吉林金恒制药股份有限公司,H20181000,盒
31,08305,复方门冬维甘滴眼液,眼用制剂,10ML,江西闪亮制药有限公司,国药准字H20083254,盒
32,08306,一清片,片剂,每片重0.55g,江西药都仁和制药有限公司,国药准字Z20090006,盒
33,08308,吲达帕胺片,片剂,2.5mg,上海迪冉郸城制药有限公司,国药准字H20023564,盒
34,08309,奥硝唑片,片剂,0.25g,湖南九典制药股份有限公司,国药准字H20113125,盒
35,08310,胶体果胶铋胶囊,胶囊剂,5mg*24粒,江西药都仁和制药有限公司,国药准字H20173034,盒
36,08311,感冒止咳颗粒,颗粒剂,每袋重10g(相当于总药材6g),江西铜鼓仁和制药有限公司,国药准字Z20055505,盒
37,08312,硫酸沙丁胺醇片,片剂,2mg*,江苏亚邦爱普森药业有限公司,国药准字H32024535,瓶
38,08313,甲磺酸酚妥拉明胶囊,胶囊剂,40mg,新兴同仁药业有限公司,国药准字H20031034,盒
39,08314,头孢克肟分散片,片剂(分散片),0.1g,广东先强药业有限公司,国药准字H20051663,盒
40,08315,湿润烧伤膏,软膏剂,每支装40g,汕头市美宝制药有限公司,国药准字Z20000004,支
41,08316,红霉素软膏,软膏剂,1%,辰欣药业股份有限公司,国药准字H37022024,支
42,08317,复方醋酸氟轻松酊,外用,20ml,浏阳津兰药业有限公司,国药准字H20163186,瓶
43,08318,醋酸氟轻松冰片乳膏,乳膏剂,"醋酸氟轻松0.01%,冰片0.5%",新乡市琦宁药业有限公司,国药准字H41024618,支
44,08319,阿莫西林克拉维酸钾片,片剂,0.375g(C16H19N3O5S 0.25g与C8H9NO5 0.125g),石药集团中诺药业(石家庄)有限公司,国药准字H20043183,盒
45,08320,维生素AD滴剂(胶囊型),滴剂(胶囊型),每粒含维生素A 1500单位、维生素D 500单位,烟台元生药业有限公司,国药准字H20055429,盒
46,08321,阿米卡星洗剂,洗剂,0.25%,成都倍特药业有限公司,国药准字H51023304,瓶
47,08322,甲磺酸倍他司汀片,片剂,6mg,卫材(中国)药业有限公司,国药准字H20040130,盒
48,08323,滑膜炎片,片剂(薄膜衣),每片重0.5g,通化金恺威药业有限公司,国药准字Z20090683,盒
49,08324,妇炎康片,片剂,糖衣片:每片重0.25g;薄膜衣片:每片重0.52g;每片重0.25g,广东德鑫制药有限公司,国药准字Z44023648,盒
50,08325,抗骨增生片,片剂,无(糖衣片);每片重0.3g(薄膜衣片),吉林吉尔吉药业有限公司,国药准字Z22020097,盒
51,08326,腰息痛胶囊,胶囊剂,每粒装0.3g(含扑热息痛0.1g),吉林吉尔吉药业有限公司,国药准字Z22020093,
52,08328,阿莫西林胶囊,胶囊剂,0.25g,昆明积大制药股份有限公司,国药准字H53020651,盒
53,08329,前列舒乐软胶囊,软胶囊剂,每粒装0.6g,通化利民药业有限责任公司,国药准字Z20060066,盒
54,08330,双花草珊瑚含片,片剂,每片重0.5g,广西昌弘制药有限公司,国药准字B20020423,盒
55,08331,氨咖黄敏胶囊,胶囊剂,复方,四川依科制药有限公司,国药准字H51023456,板
56,6931079066977,天然橡胶避孕套,外用,10只,广州市康祥实业有限公司,粤食药械生产许20020502号,盒
57,08334,天然橡胶避孕套,外用,10支,广州市康祥实业有限公司,械字号20122206,
58,08335,天然橡胶避孕套,外用,10支装,广州市康祥实业有限公司,械字号20020502,盒
59,08336,酒石酸美托洛尔片,片剂,25mg,阿斯利康制药有限公司,国药准字H32025391,盒
60,66978,对乙酰氨基酚片,片剂,0.3g*100片,山西汾河制药有限公司,国药准字H14021845,片
61,66979,盐酸吗啉胍片,片剂,0.1g,山西津华晖星制药有限公司,国药准字H14023058,瓶
62,66980,复方罗布麻片Ⅰ,片剂（糖衣、薄膜衣）,复方,山西云鹏制药有限公司,国药准字H14023317,
63,66981,颠茄片,片剂,每片含颠茄浸膏10mg,开封制药(集团)有限公司,国药准字Z41021764,瓶
64,66982,西咪替丁片,片剂,0.2g,江苏聚荣制药集团有限公司,国药准字H32021964,瓶
65,66983,甲钴胺片,片剂,0.5mg,江苏四环生物制药有限公司,国药准字H20051410,盒
66,66984,肌苷片,片剂,0.2g,宜昌人福药业有限责任公司,国药准字H20003687,瓶
67,66985,复方桔梗止咳片,片剂,每片重0.25g,贵州三仁堂药业有限公司,国药准字Z20044568,盒
68,66986,氨茶碱片,片剂,0.1g,山西太原药业有限公司,国药准字H14020283,瓶
69,66987,酒石酸美托洛尔缓释片,片剂,25mg,西南药业股份有限公司,国药准字H20033190,盒
70,66988,元胡止痛片,片剂(糖衣片),24片,四川旭阳药业有限责任公司,国药准字Z51021813,
71,66989,抗宫炎片,片剂,每片含干浸膏0.25克,江西京通美联药业有限公司,国药准字Z36021602,盒
72,66990,咽炎片,片剂,每片重0.25g(糖衣片);每片重0.26g(薄膜衣片),吉林吉尔吉药业有限公司,国药准字Z22020102,盒
73,66991,三金片(特价）,片剂,每片相当于原药材3.5g,桂林三金药业股份有限公司,国药准字Z45021645,盒
74,66993,陈香露白露片(特价）,片剂,每片重0.3g(含次硝酸铋0.066g),广西恒拓集团仁盛制药有限公司,国药准字Z45020963,瓶
75,66994,枸橼酸喷托维林片,片剂(糖衣),25mg*,上海玉瑞生物科技(安阳)药业有限公司,国药准字H41024201,瓶
76,66995,琥乙红霉素片(特价）,片剂,按C37H67NO13计算0.125g (12.5万单位),西安利君制药有限责任公司,国药准字H61022359,盒
77,66996,碳酸钙D3片,片剂,每片含钙600毫克/维生素D3 125国际单位,惠氏制药有限公司,国药准字H10950029,瓶
78,66997,盐酸环丙沙星片,片剂,0.25g(按环丙沙星计),浙江京新药业股份有限公司,国药准字H33020388,盒
79,66998,吲达帕胺片,片剂,2.5mg,广东安诺药业股份有限公司,国药准字H44020885,盒
80,66999,阿托伐他汀钙片,片剂,10mg(以C33H35FN2O5计),北京嘉林药业股份有限公司,国药准字H19990258,盒
81,67000,呋喃唑酮片,片剂,10mg,山西云鹏制药有限公司,国药准字H34024133,
82,67001,元胡止痛片,片剂,糖衣片(片芯重0.25g),广西药用植物园制药厂,国药准字Z45021589,瓶
83,67002,护肝片,片剂,片芯重0.35g,广东云方制药有限公司,国药准字Z20054567,
84,67003,苍耳子鼻炎胶囊(特价）,胶囊剂(硬胶囊),每粒装0.4g,成都森科制药有限公司,国药准字Z20064301,盒
85,67004,心脑康胶囊,胶囊剂,每粒装0.25g,吉林吉尔吉药业有限公司,国药准字Z22020106,盒
86,67005,藿香清胃胶囊,胶囊剂,每粒装0.32克,吉林省俊宏药业有限公司,国药准字Z20060148,盒
87,67006,骨折挫伤胶囊,胶囊剂,每粒装0.29g,哈尔滨中药六厂有限公司,国药准字Z23020323,盒
88,67007,颈康胶囊,胶囊剂,每粒装0.3g,吉林吉尔吉药业有限公司,国药准字Z20090844,
89,67008,诺氟沙星胶囊,胶囊剂,0.1g,四川康福来药业集团有限公司,国药准字H51021229,板
90,67009,盆炎净胶囊,胶囊剂,每粒装0.40g,吉林省利华制药有限公司,国药准字Z20060314,盒
91,67010,大败毒胶囊,胶囊剂,每粒装0.5g,长春银诺克药业有限公司,国药准字Z22020407,盒
92,67011,辽源七厘散,散剂,每支装5g,四川大千药业有限公司,国药准字Z51021507,盒
93,67012,云南白药,散剂,"每瓶装4g,保险子1粒",云南白药集团股份有限公司,国药准字Z53020798,盒
94,67013,稳心颗粒,颗粒剂,(1)每袋装9g　(2)每袋装5g(无糖型),山东步长制药股份有限公司,国药准字Z10950026,盒
95,67014,归脾丸,丸剂(浓缩丸),每8丸相当于原生药3g,九芝堂股份有限公司,国药准字Z43020464,瓶
96,67015,藤黄健骨丸,丸剂,每丸重3.5g,吉林省正辉煌药业有限公司,国药准字Z22025412,
97,67016,木香顺气丸,丸剂(水丸),每50粒重3g,山西万辉制药有限公司,国药准字Z14020420,盒
98,67017,龙胆泻肝丸,丸剂(水丸),6g*8袋,太极集团四川绵阳制药有限公司,国药准字Z51021885,盒
99,67018,洁尔阴洗液,洗剂,350ml,四川恩威制药有限公司,国药准字Z10930008,
100,67019,硫软膏,软膏剂,10%,成都明日制药有限公司,国药准字H51022880,盒
101,67020,二硫化硒洗剂,洗剂,2.5%(g/g),江苏迪赛诺制药有限公司,国药准字H10800003,盒
102,67021,鱼石脂软膏,软膏剂,10%,广东恒健制药有限公司,国药准字H44023933,支
103,67022,克霉唑栓,栓剂,0.15g,湖北东信药业有限公司,国药准字H42021785,
104,67023,双唑泰栓,栓剂,复方,湖北东信药业有限公司,国药准字H10983180,盒
105,67024,红药气雾剂,气雾剂,"每瓶内容物重100g,含药液40ml;每瓶内容物重60g,含药液24ml",沈阳红药精诚药业有限公司,国药准字Z21021527,瓶
106,67025,马来酸曲美布汀片,片剂,0.1g,山西三裕制药有限公司,国药准字H20010696,盒
107,67026,阿莫西林胶囊,胶囊剂,0.5g(按C16H19N3O5S计),四川依科制药有限公司,国药准字H20083153,盒
108,67027,胶体果胶铋胶囊,硬胶囊剂,50mg(以Bi计算),湖南迪博制药有限公司,国药准字H20063655,盒
109,67028,苯磺酸氨氯地平片（联邦）,片剂,5mg*33片,沈阳管城制药有限责任公司,国药准字H20084575,盒
110,67029,银黄清肺胶囊,胶囊剂,每粒装0.15g,湖南安邦制药有限公司,国药准字Z20020075,盒
111,67030,氨苄西林胶囊,胶囊剂,0.25g,湖南安邦制药有限公司,国药准字H43021777,盒
112,67031,感冒清热颗粒,颗粒剂,每袋装(1)12g;(2)6g(无蔗糖),广西天天乐药业股份有限公司,国药准字Z45021959,盒
113,67032,川芎茶调颗粒,颗粒剂,每袋装4g(相当于饮片7.35g),湖南安邦制药有限公司,国药准字Z43020173,盒
114,67033,氨糖美辛肠溶片,片剂,每片含盐酸氨基葡萄糖75mg、吲哚美辛25mg,山西远景康业制药有限公司,国药准字H20073930,盒
115,67034,奥美拉唑肠溶片,片剂,20mg,山西云鹏制药有限公司,国药准字H20123239,盒
116,67035,小柴胡颗粒,颗粒剂,每袋装10克,兰州和盛堂制药有限公司,国药准字Z62020011,盒
117,67036,养脾散,散剂,每袋装3g*1袋,福建永春制药有限公司,国药准字Z35020623,盒
118,67037,肺宁颗粒,颗粒剂,每袋装10g;每袋装2g(无蔗糖),修正药业集团股份有限公司,国药准字Z22020825,盒
119,67038,银杏叶软胶囊,胶囊剂(软胶囊),每粒装0.5g(含总黄酮醇苷19.2mg、萜类内酯4.8mg),洛阳君山制药有限公司,国药准字Z20090920,盒
120,67039,健胃消食片,片剂(薄膜衣),每片重0.5g,修正药业集团股份有限公司,国药准字Z20073298,盒
121,67040,健胃消食片,片剂(薄膜衣),每片重0.8g,修正药业集团股份有限公司,国药准字Z20063187,盒
122,67041,消肿橡胶膏,贴膏剂(橡胶膏剂),5cm&#215;6cm,内蒙古科尔沁药业有限公司,国药准字Z15020910,盒
123,67042,参芝安神口服液,口服液,每支装10毫升,辽宁修正生物制药有限公司,国药准字Z20025896,盒
124,67043,小儿氨酚黄那敏颗粒,颗粒剂,"对乙酰氨基酚0.125g,人工牛黄5mg,马来酸氯苯那敏0.5mg",江西恒康药业有限公司,国药准字H36022010,盒
125,67044,头孢氨苄甲氧苄啶胶囊,胶囊剂,每粒含头孢氨苄0.125g、甲氧苄啶0.025g,修正药业集团股份有限公司,国药准字H22025417,盒
126,67045,左炔诺孕酮片,片剂,0.75mg,北京利龄恒泰药业有限公司,国药准字H19983072,盒
127,67046,复方甘草片,片剂,100片,国药集团新疆制药有限公司,国药准字H65020280,瓶
128,67047,维生素B2片,片剂,5mg*100片,湖北广济药业股份有限公司,国药准字H42021202,瓶
129,67048,格列吡嗪控释片,片剂,5mg,淄博万杰制药有限公司,国药准字H20046427,盒
130,67049,格列齐特片(Ⅱ),片剂,80mg,山东鲁抗医药集团赛特有限责任公司,国药准字H20033076,盒
131,67050,盐酸氟桂利嗪胶囊,胶囊剂,5mg(以C26H26F2N2计),山东方明药业集团股份有限公司,国药准字H37023094,
132,67051,维生素B1片,片剂,10mg,华中药业股份有限公司,国药准字H42020611,瓶
133,67052,复合维生素B片,片剂,复方,成都第一药业有限公司,国药准字H51022735,瓶
134,67053,瑞舒伐他汀钙片,片剂,10mg 按瑞舒伐他汀(C22H27FN3O6S)计,浙江京新药业股份有限公司,国药准字H20080483,盒
135,67054,葡萄糖注射液,注射剂,20ml:10g,湖北科伦药业有限公司,国药准字H42021188,盒
136,67055,维生素C片,片剂,0.1g*100片,华中药业股份有限公司,国药准字H42020614,瓶
137,67056,非洛地平缓释片,缓释制剂,5mg,阿斯利康制药有限公司,国药准字H20030415,盒
138,67057,醋酸地塞米松片,片剂,0.75mg*片,遂成药业股份有限公司,国药准字H41021038,瓶
139,67058,布洛芬混悬液,口服混悬剂,25ml,扬州市三药制药有限公司,国药准字H10970354,瓶
140,67059,马来酸依那普利片,片剂,10mg,湖南千金湘江药业股份有限公司,国药准字H20066383,盒
141,67060,乙酰螺旋霉素片,片剂,0.1g(10万单位),天方药业有限公司,国药准字H41020972,盒
142,67061,氨酚曲马多片,片剂,每片含盐酸曲马多37.5mg和对乙酰氨基酚325mg,多多药业有限公司,国药准字H20120040,盒
143,67062,辛伐他汀片,片剂,20mg,山东鑫齐药业有限公司,国药准字H20084420,盒
144,67063,六经头痛片,片剂,每片重0.25克,山西仁源堂药业有限公司,国药准字Z14020322,盒
145,67064,三七伤药片,片剂,每片重0.3g,山东鲁药制药有限公司,国药准字Z37020136,盒
146,67065,枇杷止咳颗粒,颗粒剂,"每袋装3g,5g",贵州神奇药业有限公司,国药准字Z20055156,盒
147,67066,藿香正气水,酊剂,每支装10ml,太极集团四川南充制药有限公司,国药准字Z51022004,盒
148,67067,维生素B6片,片剂,10mg*100片,华中药业股份有限公司,国药准字H42020613,瓶
149,67068,八珍益母片,片剂,每片重0.3g,牡丹江灵泰药业股份有限公司,国药准字Z23021787,盒
150,67069,氢氯噻嗪片,片剂,10mg,山西云鹏制药有限公司,国药准字H20058629,
151,67070,尼群地平片,片剂,10mg,赤峰万泽药业股份有限公司,国药准字H15020697,瓶
152,67071,阿昔洛韦片,片剂,0.1g,浙江亚太药业股份有限公司,国药准字H20059927,盒
153,67072,咽炎片,片剂,0.25克(糖衣片);0.26克(薄膜衣片),吉林市吴太感康药业有限公司,国药准字Z22025983,盒
154,67073,盐酸氨基葡萄糖胶囊,胶囊剂,0.24g,浙江诚意药业股份有限公司,国药准字H20060748,盒
155,67074,双氯芬酸钠缓释片,片剂,0.1g,国药集团致君(深圳)坪山制药有限公司,国药准字H10970209,盒
156,67075,阿莫西林胶囊,胶囊剂,0.25g,哈药集团制药总厂,国药准字H23020932,盒
157,67076,血塞通分散片,片剂,50mg,湖南方盛制药股份有限公司,国药准字Z20040142,盒
158,67077,清淋颗粒,颗粒剂,"每袋装10g,每袋装3g(无糖型)",四川绵阳一康制药有限公司,国药准字Z19993210,盒
159,67078,猴头菌片,片剂(糖衣片),100片,湖北美宝药业有限公司,国药准字Z42020862,盒
160,67079,复方丹参片,片剂,"薄膜衣小片,每片重0.26g(相当于饮片0.6g)",云南省曲靖药业有限公司,国药准字Z20123011,盒
161,67080,复方黄连素片,片剂,每片含盐酸小檗碱30mg,云南明镜亨利制药有限公司,国药准字Z53021692,盒
162,67081,泻痢消片,片剂,每片重0.35g,云南白药集团丽江药业有限公司,国药准字Z20026323,盒
163,67082,陈香露白露片,片剂,每片重0.5g(含次硝酸铋0.110g),云南白药集团丽江药业有限公司,国药准字Z53021313,盒
164,67083,妇炎康片,片剂,每片重0.52g(薄膜衣片),云南白药集团股份有限公司,国药准字Z20073315,盒
165,67084,绿活电子血压计,,全程语音播报,东莞市欣绿有限公司,粤械注准20182200318号,个
166,67085,艾灸条,,18mm*200mm*10支,南阳艾万家艾草科技有限公司,,盒
167,67086,3%过氧化氢（双氧水,,100ml,四川乐康药用辅料有限公司,川（广安）卫消证字（2014）第0001号,瓶
168,67087,碘伏,,100ml,四川乐康,川（广安）卫消证字（2014）第0001号,瓶
169,67088,84消毒液,,450ml,成都,,瓶
170,67089,绑扎胶布,外用,卷*1,昆明双龙,,个
171,67090,压敏胶带,,1*1,青岛海诺生物工程有限公司,,个
172,67091,皮肤消毒液,,100ml,四川乐康,,瓶
173,67092,检查手套,,100只,海门市杨子医疗,,袋
174,67093,棉签,,40,四川成都,,包
175,67094,75#消毒酒精,外用,100ml,四川广安,,瓶
176,67095,纱布块,,1*1,南昌康正德制约有限公司,,包
177,67096,天然橡胶避孕套,,12只,,,盒
178,67097,半边天001,,12只,高山丹阳,,盒
179,67098,半边天天然大颗粒,,12只,,,盒
180,67099,至尊隐形001,,12只,成都市羊子山路,,盒
181,67100,三枪大号,,12只,深圳龙华,,盒
182,67101,半边天小号,,2,山西晋城,,
183,67102,晕车贴,,3*6,江西一品药业有限公司,,盒
184,67103,医用退烧贴爽冰冰,,4贴,,,盒
185,67105,徐氏骨筋痛贴,,5片装,河南中天堂,,盒
186,67106,甘草枇杷硬质糖果,,40g,,,盒
187,67107,金银花硬质糖果,,40g,厦门市鑫三扬保健品有限公司,,盒
188,67110,金银花清清宝,,8g*20袋,江西樟树市创美有限公司,,盒
189,67111,七星嗏清清宝,,8g*20袋,江西樟树市创美有限公司,,盒
190,67112,蜂蜜菊花清清宝,,8g*20袋,江西樟树市创美有限公司,,盒
191,67113,当归芦荟胶囊,,0.45*20g,有限公司河南树铭,,盒
192,67114,皮癣灵,,15g,河南千牛卫医药有限公司,,盒
193,67115,皮癣净,,30ml,河南千牛卫医药有限公司,,盒
194,67116,军中肤王,,20g,江西大药坊生物科技有限公司,,盒
195,67117,润滑啫喱,,100ml,广州市白云区,,盒
196,67118,虎豹活络油,,25ml,江西大药坊生物科技有限公司,,瓶
197,67119,黄柏洗液,,260ml,江西冯利生物科技有限公司,,盒
198,67120,湿痒洗液,,260ml,江西冯利生物科技有限公司,,盒
199,67121,苦参洗液,,260ml,江西冯利生物科技有限公司,,盒
200,67122,医用退热贴,,4贴,九江捷豹药械有限公司,,盒
201,67123,疤克,,10g*2,广州曲氏医药科技有限公司,,盒
202,67124,金菊养目抑菌护理液,,12ml,江西创美实业有限公司,,盒
203,67125,珍珠明目抑菌护理液,,12ml,江西创美实业有限公司,,盒
204,67126,障翳清抑菌护理液,,12ml,江西创美实业有限公司,,盒
205,67127,婴儿紫草油,,30ml,江西创美实业有限公司,,盒
206,67128,荆防颗粒,颗粒剂,每袋装15g,四川高原明珠制药有限公司,国药准字Z51021572,盒
207,67129,夏桑菊颗粒,颗粒剂,每袋装10g,四川高原明珠药业有限公司,国药准字Z51021393,盒
208,67130,法莫替丁胶囊,胶囊剂,20mg,修正药业集团长春高新制药有限公司,国药准字H20050294,盒
209,67131,复方桔梗止咳片,片剂,每片重0.25克。,三门峡广宇生物制药有限公司,国药准字Z41020720,盒
210,67132,罗红霉素分散片,片剂,0.15g,海南海神同洲制药有限公司,国药准字H20093868,盒
211,67133,头孢氨苄甲氧苄啶胶囊,胶囊剂,"75mg(头孢氨苄62.5mg,甲氧苄啶12.5mg)",沈阳管城制药有限责任公司,国药准字H21023079,盒
212,67134,血塞通分散片,片剂,每片重0.25g(含三七总皂苷50mg),江苏红瑞制药有限公司,国药准字Z20153008,盒
213,67135,足光散,散剂,"每袋装20g,40g",湖北人福成田药业有限公司,国药准字Z20025432,盒
214,67136,全鹿丸,丸剂(水蜜丸),每40丸重3g,江西药都樟树制药有限公司,国药准字Z36021697,盒
215,67137,乳酸菌素片,片剂(素片),按乳酸菌素计0.4g,黑龙江百泰药业有限公司,国药准字H20055141,盒
216,67138,叶酸片,片剂,0.4毫克,江西制药有限责任公司,国药准字H36020872,盒
217,67139,痔速宁片,片剂,每片重0.31g,江西药都仁和制药有限公司,国药准字Z20073162,盒
218,67140,桂龙咳喘宁片,片剂,每片重0.41克,江西药都仁和制药有限公司,国药准字Z20050134,盒
219,67141,抗病毒口服液,合剂,每支10ml,安徽东盛友邦制药有限公司,国药准字Z34020823,盒
220,67142,镇咳糖浆,糖浆剂,每瓶装100ml；每瓶装200ml,江西药都樟树制药有限公司,国药准字Z20025535,瓶
221,67143,舒筋活血片,片剂,素片每片重0.3g;薄膜衣片每片重0.37g,洛阳君山制药有限公司,国药准字Z41020233,盒
222,67144,阿司匹林肠溶片,片剂(肠溶),50mg,大同市利群药业有限责任公司,国药准字H14022744,盒
223,67145,布洛芬混悬液,口服混悬剂,5ml:0.1g,翔宇药业股份有限公司,国药准字H20030648,瓶
224,67146,抗骨质增生丸,丸剂(小蜜丸),每瓶装45g；每袋装3g,江西药都樟树制药有限公司,国药准字Z36021747,盒
225,67147,氧氟沙星栓,栓剂,0.1g,江西吉安三力制药有限公司,国药准字H20054796,盒
226,67148,美洛昔康片,片剂,7.5mg,宁波大红鹰药业股份有限公司,国药准字H20031131,盒
227,67149,浩宇牌锌口服液,口服液,10ml*16,江西浩宇生物科技有限公司,食健备G201836000731,盒
228,67150,小柴胡颗粒,颗粒剂,每袋装10克,江西德上制药有限公司,国药准字Z20054063,盒
229,67151,橘红痰咳颗粒,颗粒剂,每袋装10g,广西半宙大康制药有限公司,国药准字Z20064174,盒
230,67152,氨糖美辛肠溶片,片剂(肠溶),每片含吲哚美辛25mg和盐酸氨基葡萄糖75mg,江西制药有限责任公司,国药准字H36020727,盒
231,67153,葡萄糖酸钙口服溶液,口服溶液剂,10%,江西川奇药业有限公司,国药准字H20063563,盒
232,67154,阿昔洛韦乳膏,乳膏剂,10克:0.3克(3%),江西吉安三力制药有限公司,国药准字H20063386,盒
233,67155,珍黄胶囊(珍黄丸),胶囊剂,每粒装0.2g,上海庆安药业集团宿州制药有限公司,国药准字Z34020393,盒
234,67156,小儿七星茶颗粒,颗粒剂,每袋装7g,惠州大亚制药股份有限公司,国药准字Z44020606,盒
235,67157,止痢宁片,片剂,每片重0.35g(相当于总药材1.6g)。,三门峡广宇生物制药有限公司,国药准字Z41021074,盒
236,67158,茶碱缓释片,片剂(缓释),0.1g,吉林省力胜制药有限公司,国药准字H22023973,盒
237,67159,双氯芬酸钠气雾剂,气雾剂,每瓶30g，内含双氯芬酸钠0.375g,广东同德药业有限公司,国药准字H20056346,盒
238,67160,双氯芬酸钠缓释片,片剂,100mg(以C14H10Cl2NO2Na计),湖南华纳大药厂有限公司,国药准字H20067776,盒
239,67161,肺宁颗粒,颗粒剂,每袋5g(无蔗糖);每袋10g;每袋5g,吉林益民堂制药有限公司,国药准字Z22023003,盒
240,67162,消炎止咳片,片剂(糖衣片),片芯重0.35g,四川省三星堆制药有限公司,国药准字Z22020874,盒
241,67163,舒筋活血片,片剂,每片重0.3克,洛阳天生药业有限责任公司,国药准字Z41020557,盒
242,67164,消渴降糖胶囊,胶囊剂,每粒装0.3g(相当于原药材3g),洛阳天生药业有限责任公司,国药准字Z20083231,
243,67165,复方氨酚那敏颗粒,颗粒剂,复方,河北长天药业有限公司,国药准字H13023524,袋
244,67166,荆防颗粒,颗粒剂,每袋装15g,九寨沟天然药业集团有限责任公司,国药准字Z51021290,包
245,67167,黄皮肤乳膏,,18g支,江西报恩堂药业有限公司,赣卫消字2010第D076号,盒
246,67168,黄皮肤儿童抑菌乳膏,,18g支,江西报恩堂药业有限公司,赣卫消证字2010第D076号,支
247,67169,万通筋骨贴,,6贴,药业有限公司湖北冠安堂,鄂天械20160012号,盒
248,67170,麻杏止咳片,片剂,薄膜衣每片重0.26g,吉林省长恒药业有限公司,国药准字Z20027220,盒
249,67171,盐酸丙卡特罗片,片剂,25μg,青岛国大药业有限公司,国药准字H19994101,盒
250,67172,清热散结片,片剂,每基片重0.18g(相当于药材3.0g),贵阳润丰制药有限公司,国药准字Z20093636,盒
251,67173,天麻片,片剂(薄膜衣),40片,广州诺金制药有限公司,国药准字Z44022521,盒
252,67174,抗骨增生片,片剂,54片,四平市吉特药业有限公司,国药准字Z22023793,盒
253,67175,布洛芬缓释胶囊,胶囊剂,0.3g,吉林道君药业股份有限公司,国药准字H22026099,盒
254,67176,风痛片,片剂,每片重0.26g,吉林玉仁制药股份有限公司,国药准字Z20053729,盒
